Ticker,Sector,PE,Date,Max_Gain_5D,Max_Gain_10D,Max_DD_5D,RSI_Entry,Vol_Ratio_Entry
THYAO.IS,Industrials,4.679256,2021-12-24,2.84,21.12,-6.53,52.56,0.65
THYAO.IS,Industrials,4.679256,2022-05-30,3.19,3.19,-4.24,67.93,1.06
THYAO.IS,Industrials,4.679256,2022-10-03,11.46,27.37,0.71,42.36,0.62
THYAO.IS,Industrials,4.679256,2023-02-15,9.22,9.22,-3.0,20.71,0.0
ASELS.IS,Industrials,32.50106,2021-11-29,3.17,15.04,-6.77,83.37,1.23
ASELS.IS,Industrials,32.50106,2022-09-12,11.85,11.85,-11.23,69.01,1.48
ASELS.IS,Industrials,32.50106,2022-09-14,9.27,9.27,-12.12,63.71,2.24
ASELS.IS,Industrials,32.50106,2023-02-15,9.11,9.11,-7.47,28.4,0.0
ASELS.IS,Industrials,32.50106,2023-05-29,6.96,17.67,-2.08,59.52,1.83
EREGL.IS,Basic Materials,4.853896,2022-09-05,9.75,10.46,-1.23,50.0,0.85
EREGL.IS,Basic Materials,4.853896,2022-11-04,17.42,17.42,1.98,57.01,0.95
EREGL.IS,Basic Materials,4.853896,2022-11-07,6.77,6.77,-6.5,67.63,2.63
EREGL.IS,Basic Materials,4.853896,2023-02-15,29.6,29.6,1.21,33.66,0.0
KCHOL.IS,Industrials,7.3937774,2023-02-15,7.78,7.78,-3.43,29.77,0.0
KCHOL.IS,Industrials,7.3937774,2023-05-11,5.59,5.59,-19.25,67.24,2.15
KCHOL.IS,Industrials,7.3937774,2023-06-05,12.47,12.47,-1.92,36.89,1.18
KCHOL.IS,Industrials,7.3937774,2023-07-28,2.53,4.25,-4.69,69.42,1.03
SISE.IS,Industrials,4.613936,2021-12-07,13.22,28.29,-1.43,95.19,1.42
SISE.IS,Industrials,4.613936,2023-02-15,16.49,16.49,2.11,28.56,0.0
SISE.IS,Industrials,4.613936,2023-05-11,2.67,2.67,-10.25,23.82,1.57
SISE.IS,Industrials,4.613936,2025-05-12,0.96,0.96,-4.85,35.96,1.42
SISE.IS,Industrials,4.613936,2025-12-08,4.0,4.0,-4.91,69.64,0.95
SISE.IS,Industrials,4.613936,2026-01-29,8.13,8.13,-5.33,61.1,1.31
AKBNK.IS,Financial Services,5.214531,2021-11-15,9.9,9.9,-0.0,86.18,0.62
AKBNK.IS,Financial Services,5.214531,2022-09-02,24.94,46.89,-0.08,69.02,1.37
AKBNK.IS,Financial Services,5.214531,2022-09-12,9.31,9.31,-36.84,84.37,2.2
AKBNK.IS,Financial Services,5.214531,2022-10-03,5.8,19.66,-2.98,16.2,0.35
AKBNK.IS,Financial Services,5.214531,2022-10-17,8.75,8.75,-0.4,78.07,1.02
AKBNK.IS,Financial Services,5.214531,2023-02-15,7.67,10.64,-2.29,30.13,0.0
AKBNK.IS,Financial Services,5.214531,2023-05-11,6.87,6.87,-19.04,39.72,1.29
AKBNK.IS,Financial Services,5.214531,2023-05-30,11.91,15.88,-3.48,41.19,1.26
AKBNK.IS,Financial Services,5.214531,2023-08-09,8.59,8.59,-6.14,65.48,0.87
AKBNK.IS,Financial Services,5.214531,2023-08-24,2.89,9.66,-6.11,52.07,0.82
AKBNK.IS,Financial Services,5.214531,2024-01-08,9.45,9.45,-2.52,37.61,0.71
AKBNK.IS,Financial Services,5.214531,2025-06-30,5.79,5.79,-0.81,71.54,1.16
GARAN.IS,Financial Services,4.82565,2021-11-15,7.82,7.82,1.89,82.59,0.61
GARAN.IS,Financial Services,4.82565,2022-08-17,14.04,29.78,-5.8,85.22,1.84
GARAN.IS,Financial Services,4.82565,2022-08-23,19.32,19.32,-1.65,86.92,1.14
GARAN.IS,Financial Services,4.82565,2022-08-25,6.91,6.91,-13.98,89.29,1.62
GARAN.IS,Financial Services,4.82565,2022-09-09,20.86,20.86,-17.57,59.94,1.28
GARAN.IS,Financial Services,4.82565,2022-09-12,9.94,9.94,-31.86,68.0,0.66
GARAN.IS,Financial Services,4.82565,2022-10-03,5.43,12.73,-4.21,19.34,0.57
GARAN.IS,Financial Services,4.82565,2022-10-17,9.3,9.3,0.08,68.19,0.58
GARAN.IS,Financial Services,4.82565,2023-02-15,9.24,9.24,-2.76,26.77,0.0
GARAN.IS,Financial Services,4.82565,2023-03-08,3.97,3.97,-8.5,73.23,1.26
